name,description
Hub,"A smart hub is essentially a control center for the smart devices in your home. The hub lets you connect, communicate, and manage different devices from one interface. "
Sensor,"Smart-home sensors are incredibly powerful detection and data-collection devices that can make a home more comfortable, efficient and safe. "
Controller,"A smart switch offers a convenient way to control your lights with a tap, smartphone app, or voice command."
Camera,Smart cameras are an excellent addition to any modern home.
DoorLock,Smart door locks are becoming an increasingly popular means of safeguarding homes and offices everywhere.
Lighting,The ability to set lighting automations ensures you do not leave bulbs on when not in use
Curtain Controller,"Smart curtain controllers automate your privacy and comfort, but they can also help reduce energy bills throughout the year."
